Sectors of Economy,Base Size,One Time,Government Spending/Subsidies,Consumer Spending Effect
Office,3036106368000,0.00,0.00,0.04
Construction,2087323128000,0.00,0.00,0.06
Healthcare,2087323128000,0.00,0.00,0.08
Manufacturing,3763506852000,0.00,0.00,0.05
Real Estate,1960818696000,0.00,0.00,0.20
Finance,1802688156000,0.00,0.00,0.09
Retail,2150575344000,0.00,0.00,0.18
Agriculture,1644557616000,0.00,0.00,0.00
Forestry,221382756000,0.00,0.00,0.00
Fishing,379513296000,0.00,0.00,0.00
Defence,1138539888000,0.00,0.00,0.01
Information,1265044320000,0.00,0.00,0.05
Transport,1265044320000,0.00,0.00,0.01
Electricity,917157132000,0.00,0.00,0.08
Water,221382756000,0.00,0.00,0.07
Mining,253008864000,0.00,0.00,0.01
Education,1359922644000,0.00,0.00,0.09
Other,3067732476000,0.00,0.00,0.01
Public Service,2693208679,0.00,0.00,0.00
Illicit,322849852500,0.00,0.00,0.00
Colonial Holdings,0,0.00,0.00,0.00
Foreign Trade,0,0.00,0.00,0.00